nivel,episod,recompensa,pasi,succes,epsilon
1,1,27.700000000000372,276,0,0.999
1,2,35.55000000000052,269,0,0.998001
1,3,29.50000000000088,390,0,0.997002999
1,4,26.40000000000073,362,0,0.996005996001
1,5,38.050000000000566,309,0,0.995009990004999
1,6,21.450000000000472,521,0,0.994014980014994
1,7,30.700000000000642,426,0,0.993020965034979
1,8,26.450000000000244,301,0,0.9920279440699441
1,9,27.55000000000061,309,0,0.9910359161258742
1,10,38.65000000000023,237,0,0.9900448802097482
1,11,99.79999999999997,514,0,0.9890548353295385
1,12,37.80000000000062,314,0,0.988065780494209
1,13,41.200000000000514,276,0,0.9870777147137147
1,14,25.300000000000523,324,0,0.986090636999001
1,15,33.60000000000055,308,0,0.9851045463620021
1,16,24.60000000000055,338,0,0.98411944181564
1,17,39.15000000000046,317,0,0.9831353223738244
1,18,40.250000000000526,325,0,0.9821521870514506
1,19,32.85000000000032,323,0,0.9811700348643991
1,20,29.450000000000486,271,0,0.9801888648295347
1,21,24.90000000000022,332,0,0.9792086759647052
1,22,26.450000000000628,301,0,0.9782294672887405
1,23,38.40000000000036,242,0,0.9772512378214517
1,24,29.55000000000058,359,0,0.9762739865836303
1,25,27.050000000000466,289,0,0.9752977125970467
1,26,34.00000000000031,240,0,0.9743224148844496
1,27,29.600000000000392,238,0,0.9733480924695651
1,28,30.70000000000033,246,0,0.9723747443770956
1,29,105.49999999999984,520,0,0.9714023696327185
1,30,32.25000000000034,185,0,0.9704309672630859
1,31,28.35000000000045,263,0,0.9694605362958227
1,32,27.2000000000006,316,0,0.9684910757595269
1,33,25.900000000000475,312,0,0.9675225846837673
1,34,46.150000000000574,327,0,0.9665550620990835
1,35,37.65000000000076,437,0,0.9655885070369844
1,36,33.60000000000055,308,0,0.9646229185299474
1,37,35.20000000000027,276,0,0.9636582956114175
1,38,43.70000000000047,316,0,0.9626946373158061
1,39,33.7000000000004,246,0,0.9617319426784903
1,40,34.55000000000068,319,0,0.9607702107358118
1,41,18.550000000000338,459,0,0.959809440525076
1,42,36.10000000000048,288,0,0.9588496310845509
1,43,35.250000000000426,275,0,0.9578907814534664
1,44,32.25000000000034,275,0,0.9569328906720129
1,45,29.050000000000182,249,0,0.9559759577813409
1,46,45.25000000000044,315,0,0.9550199818235596
1,47,47.60000000000039,238,0,0.9540649618417361
1,48,31.30000000000028,204,0,0.9531108968798944
1,49,34.6500000000005,347,0,0.9521577859830145
1,50,25.850000000000506,313,0,0.9512056281970315
1,51,29.400000000000432,272,0,0.9502544225688344
1,52,44.60000000000042,238,0,0.9493041681462656
1,53,32.45000000000043,271,0,0.9483548639781193
1,54,23.450000000000344,361,0,0.9474065091141411
1,55,28.50000000000047,260,0,0.946459102605027
1,56,27.550000000000395,309,0,0.9455126435024219
1,57,31.30000000000031,234,0,0.9445671308589195
1,58,44.600000000000264,238,0,0.9436225637280606
1,59,37.550000000000665,319,0,0.9426789411643326
1,60,35.05000000000044,279,0,0.9417362622231683
1,61,36.80000000000044,274,0,0.9407945259609451
1,62,29.050000000000495,249,0,0.9398537314349842
1,63,41.250000000000625,275,0,0.9389138777035492
1,64,44.550000000000495,239,0,0.9379749638258457
1,65,44.25000000000058,275,0,0.9370369888620198
1,66,35.55000000000038,239,0,0.9360999518731578
1,67,35.45000000000066,421,0,0.9351638519212846
1,68,42.300000000000466,314,0,0.9342286880693633
1,69,32.45000000000029,271,0,0.933294459381294
1,70,29.450000000000443,241,0,0.9323611649219127
1,71,33.650000000000475,277,0,0.9314288037569908
1,72,31.10000000000032,208,0,0.9304973749532338
1,73,31.350000000000406,323,0,0.9295668775782806
1,74,42.65000000000052,277,0,0.9286373107007023
1,75,48.050000000000324,199,0,0.9277086733900016
1,76,32.80000000000037,234,0,0.9267809647166116
1,77,31.250000000000213,235,0,0.925854183751895
1,78,45.500000000000526,310,0,0.9249283295681431
1,79,40.35000000000035,233,0,0.9240034012385749
1,80,96.09999999999992,588,0,0.9230793978373364
1,81,31.000000000000313,210,0,0.9221563184394991
1,82,36.7000000000005,276,0,0.9212341621210596
1,83,30.550000000000367,219,0,0.9203129279589385
1,84,29.10000000000032,278,0,0.9193926150309796
1,85,31.150000000000304,207,0,0.9184732224159486
1,86,37.60000000000035,198,0,0.9175547491935327
1,87,49.750000000000384,195,0,0.9166371944443392
1,88,40.40000000000035,202,0,0.9157205572498949
1,89,37.80000000000037,284,0,0.914804836692645
1,90,29.900000000000432,232,0,0.9138900318559524
1,91,46.10000000000042,238,0,0.9129761418240965
1,92,32.05000000000042,249,0,0.9120631656822724
1,93,30.900000000000446,242,0,0.9111511025165902
1,94,30.550000000000182,219,0,0.9102399514140735
1,95,29.800000000000338,234,0,0.9093297114626595
1,96,114.79999999999963,484,0,0.9084203817511969
1,97,42.500000000000526,310,0,0.9075119613694457
1,98,33.950000000000216,241,0,0.9066044494080763
1,99,36.50000000000044,310,0,0.9056978449586682
1,100,45.650000000000475,277,0,0.9047921471137096
1,101,36.250000000000355,285,0,0.9038873549665959
1,102,27.30000000000028,284,0,0.9029834676116293
1,103,105.94999999999992,391,0,0.9020804841440176
1,104,36.750000000000455,275,0,0.9011784036598737
1,105,31.65000000000039,197,0,0.9002772252562138
1,106,35.90000000000033,232,0,0.8993769480309576
1,107,35.45000000000044,271,0,0.8984775710829266
1,108,30.800000000000338,214,0,0.8975790935118436
1,109,107.25000000000007,365,0,0.8966815144183318
1,110,36.550000000000296,309,0,0.8957848329039134
1,111,34.30000000000027,204,0,0.8948890480710096
1,112,29.800000000000253,234,0,0.8939941590229386
1,113,27.350000000000392,283,0,0.8931001648639156
1,114,33.45000000000046,281,0,0.8922070646990518
1,115,39.7500000000003,215,0,0.8913148576343527
1,116,33.85000000000039,243,0,0.8904235427767183
1,117,42.80000000000054,274,0,0.8895331192339416
1,118,110.94999999999995,471,0,0.8886435861147077
1,119,36.150000000000446,347,0,0.887754942528593
1,120,32.600000000000264,178,0,0.8868671875860644
1,121,34.9500000000002,161,0,0.8859803203984784
1,122,124.74999999999939,345,0,0.88509434007808
1,123,38.55000000000035,209,0,0.8842092457380019
1,124,37.25000000000047,235,0,0.8833250364922639
1,125,44.650000000000446,237,0,0.8824417114557717
1,126,49.200000000000344,206,0,0.8815592697443159
1,127,39.2500000000003,165,0,0.8806777104745716
1,128,51.15000000000035,197,0,0.8797970327640969
1,129,45.30000000000037,194,0,0.8789172357313328
1,130,119.54999999999968,419,0,0.8780383184956015
1,131,38.550000000000225,209,0,0.8771602801771059
1,132,39.70000000000023,156,0,0.8762831198969288
1,133,35.95000000000019,111,0,0.8754068367770318
1,134,29.650000000000304,237,0,0.8745314299402548
1,135,31.150000000000404,237,0,0.8736568985103146
1,136,43.50000000000024,170,0,0.8727832416118043
1,137,38.850000000000236,203,0,0.8719104583701925
1,138,31.50000000000034,200,0,0.8710385479118223
1,139,33.50000000000031,280,0,0.8701675093639105
1,140,37.45000000000036,231,0,0.8692973418545467
1,141,32.95000000000023,171,0,0.8684280445126921
1,142,46.100000000000506,238,0,0.8675596164681794
1,143,38.65000000000036,207,0,0.8666920568517111
1,144,33.05000000000027,199,0,0.8658253647948594
1,145,35.85000000000028,203,0,0.8649595394300645
1,146,37.15000000000039,207,0,0.8640945798906344
1,147,27.050000000000452,319,0,0.8632304853107438
1,148,41.15000000000046,277,0,0.862367254825433
1,149,29.850000000000435,233,0,0.8615048875706075
1,150,49.80000000000035,194,0,0.8606433826830369
1,151,39.2500000000003,195,0,0.8597827393003539
1,152,47.600000000000406,238,0,0.8589229565610536
1,153,40.30000000000027,204,0,0.8580640336044925
1,154,43.500000000000284,200,0,0.857205969570888
1,155,30.45000000000033,221,0,0.8563487636013172
1,156,46.700000000000315,196,0,0.8554924148377159
1,157,28.600000000000392,348,0,0.8546369224228781
1,158,36.000000000000284,200,0,0.8537822855004553
1,159,32.50000000000027,180,0,0.8529285032149548
1,160,32.85000000000019,173,0,0.8520755747117399
1,161,35.15000000000025,157,0,0.8512234991370281
1,162,45.65000000000026,157,0,0.8503722756378911
1,163,112.79999999999957,344,0,0.8495219033622532
1,164,119.29999999999917,364,0,0.8486723814588909
1,165,32.550000000000296,179,0,0.847823709077432
1,166,42.65000000000023,157,0,0.8469758853683546
1,167,42.15000000000036,197,0,0.8461289094829862
1,168,29.200000000000315,276,0,0.8452827805735033
1,169,50.60000000000045,238,0,0.8444374977929298
1,170,39.05000000000037,229,0,0.8435930602951368
1,171,28.950000000000472,251,0,0.8427494672348417
1,172,48.25000000000034,195,0,0.8419067177676068
1,173,31.70000000000033,196,0,0.8410648110498392
1,174,34.05000000000027,149,0,0.8402237462387894
1,175,45.100000000000264,198,0,0.8393835224925505
1,176,37.7500000000004,195,0,0.838544138970058
1,177,33.100000000000236,198,0,0.8377055948310879
1,178,123.04999999999966,349,0,0.8368678892362568
1,179,41.7000000000004,236,0,0.8360310213470206
1,180,36.15000000000026,197,0,0.8351949903256736
1,181,30.70000000000043,276,0,0.8343597953353479
1,182,42.150000000000276,197,0,0.8335254355400126
1,183,42.45000000000033,161,0,0.8326919101044725
1,184,32.400000000000276,182,0,0.831859218194368
1,185,39.30000000000052,284,0,0.8310273589761736
1,186,37.05000000000044,239,0,0.8301963316171974
1,187,29.4500000000004,241,0,0.8293661352855802
1,188,34.850000000000335,193,0,0.8285367691502946
1,189,38.15000000000033,157,0,0.8277082323811443
1,190,52.65000000000033,197,0,0.8268805241487632
1,191,40.15000000000042,237,0,0.8260536436246144
1,192,40.05000000000031,209,0,0.8252275899809898
1,193,40.350000000000335,233,0,0.8244023623910088
1,194,31.550000000000352,199,0,0.8235779600286178
1,195,36.00000000000034,200,0,0.8227543820685892
1,196,33.50000000000017,160,0,0.8219316276865206
1,197,37.7500000000003,165,0,0.8211096960588341
1,198,37.65000000000022,197,0,0.8202885863627752
1,199,30.850000000000193,213,0,0.8194682977764125
1,200,36.05000000000021,199,0,0.818648829478636
1,201,52.75000000000023,195,0,0.8178301806491574
1,202,52.65000000000035,197,0,0.8170123504685082
1,203,32.600000000000364,238,0,0.8161953381180397
1,204,47.650000000000404,207,0,0.8153791427799216
1,205,47.00000000000027,160,0,0.8145637636371417
1,206,30.100000000000378,228,0,0.8137491998735046
1,207,33.300000000000196,164,0,0.812935450673631
1,208,40.75000000000024,195,0,0.8121225152229574
1,209,40.55000000000035,199,0,0.8113103927077344
1,210,41.55000000000042,269,0,0.8104990823150267
1,211,48.250000000000355,195,0,0.8096885832327116
1,212,40.70000000000029,166,0,0.8088788946494789
1,213,52.95000000000027,161,0,0.8080700157548294
1,214,37.300000000000296,204,0,0.8072619457390746
1,215,120.84999999999944,393,0,0.8064546837933355
1,216,37.600000000000264,198,0,0.8056482291095421
1,217,33.20000000000033,166,0,0.8048425808804326
1,218,42.50000000000047,250,0,0.8040377382995522
1,219,50.80000000000038,234,0,0.8032337005612527
1,220,45.05000000000034,199,0,0.8024304668606914
1,221,32.50000000000024,180,0,0.8016280363938307
1,222,34.90000000000022,132,0,0.8008264083574369
1,223,36.35000000000029,163,0,0.8000255819490795
1,224,36.50000000000023,160,0,0.7992255563671304
1,225,36.300000000000196,194,0,0.7984263308107633
1,226,38.200000000000315,156,0,0.7976279044799526
1,227,45.250000000000256,165,0,0.7968302765754727
1,228,33.750000000000256,155,0,0.7960334462988972
1,229,51.15000000000033,197,0,0.7952374128525983
1,230,37.100000000000335,208,0,0.7944421754397457
1,231,45.4500000000003,161,0,0.7936477332643059
1,232,44.700000000000315,236,0,0.7928540855310416
1,233,31.800000000000367,194,0,0.7920612314455105
1,234,110.7499999999999,295,0,0.7912691702140651
1,235,38.100000000000236,158,0,0.790477901043851
1,236,51.30000000000027,164,0,0.7896874231428072
1,237,44.10000000000028,158,0,0.7888977357196644
1,238,31.5000000000003,200,0,0.7881088379839447
1,239,32.15000000000042,187,0,0.7873207291459607
1,240,37.85000000000025,163,0,0.7865334084168147
1,241,33.10000000000035,168,0,0.7857468750083979
1,242,44.90000000000035,232,0,0.7849611281333895
1,243,39.700000000000244,156,0,0.784176167005256
1,244,50.55000000000048,239,0,0.7833919908382508
1,245,44.800000000000495,234,0,0.7826085988474126
1,246,41.05000000000028,159,0,0.7818259902485653
1,247,32.750000000000156,235,0,0.7810441642583167
1,248,39.550000000000296,159,0,0.7802631200940584
1,249,48.650000000000276,157,0,0.7794828569739644
1,250,43.65000000000032,167,0,0.7787033741169904
1,251,40.45000000000036,201,0,0.7779246707428734
1,252,31.5000000000003,200,0,0.7771467460721305
1,253,111.19999999999989,286,0,0.7763695993260584
1,254,37.850000000000335,193,0,0.7755932297267324
1,255,44.25000000000027,155,0,0.7748176364970056
1,256,34.250000000000156,145,0,0.7740428188605086
1,257,41.65000000000039,237,0,0.7732687760416481
1,258,52.80000000000037,194,0,0.7724955072656065
1,259,43.30000000000055,234,0,0.7717230117583408
1,260,124.64999999999948,287,0,0.7709512887465825
1,261,34.750000000000284,195,0,0.7701803374578359
1,262,38.40000000000029,212,0,0.7694101571203781
1,263,42.15000000000035,197,0,0.7686407469632577
1,264,37.80000000000055,284,0,0.7678721062162944
1,265,37.95000000000027,161,0,0.7671042341100781
1,266,37.75000000000027,165,0,0.766337129875968
1,267,42.20000000000036,196,0,0.7655707927460921
1,268,120.8499999999993,303,0,0.764805221953346
1,269,42.750000000000284,155,0,0.7640404167313927
1,270,38.90000000000026,202,0,0.7632763763146613
1,271,34.950000000000244,131,0,0.7625130999383466
1,272,33.55000000000031,159,0,0.7617505868384082
1,273,34.85000000000025,133,0,0.7609888362515699
1,274,34.40000000000026,142,0,0.7602278474153183
1,275,32.90000000000023,172,0,0.759467619567903
1,276,34.85000000000022,133,0,0.7587081519483351
1,277,33.60000000000018,158,0,0.7579494437963867
1,278,39.10000000000025,168,0,0.7571914943525904
1,279,52.65000000000032,197,0,0.7564343028582378
1,280,46.950000000000244,161,0,0.7556778685553796
1,281,48.40000000000025,162,0,0.7549221906868242
1,282,42.50000000000034,160,0,0.7541672684961374
1,283,40.60000000000025,168,0,0.7534131012276413
1,284,50.25000000000027,155,0,0.7526596881264136
1,285,32.250000000000384,185,0,0.7519070284382872
1,286,32.500000000000256,180,0,0.7511551214098489
1,287,33.750000000000284,155,0,0.750403966288439
1,288,40.80000000000031,194,0,0.7496535623221505
1,289,45.50000000000023,130,0,0.7489039087598284
1,290,36.15000000000026,167,0,0.7481550048510686
1,291,34.600000000000236,138,0,0.7474068498462175
